rel_abund_1	period	iter_converged	EX_Bio(e) (1) fluxes
0.01	2	4	9.900000000000,0.100000000000,9.900000000000,0.100000000000
0.014924623115577889	2	4	9.850753768844,0.149246231156,9.850753768844,0.149246231156
0.01984924623115578	2	4	9.801507537688,0.198492462312,9.801507537688,0.198492462312
0.024773869346733667	2	4	9.752261306533,0.247738693467,9.752261306533,0.247738693467
0.029698492462311557	2	4	9.703015075377,0.296984924623,9.703015075377,0.296984924623
0.03462311557788945	2	4	9.653768844221,0.346231155779,9.653768844221,0.346231155779
0.03954773869346734	2	4	9.604522613065,0.395477386935,9.604522613065,0.395477386935
0.04447236180904523	2	4	9.555276381910,0.444723618090,9.555276381910,0.444723618090
0.04939698492462312	2	5	9.506030150754,0.493969849246,9.506030150754,0.493969849246
0.05432160804020101	2	5	9.456783919598,0.543216080402,9.456783919598,0.543216080402
0.0592462311557789	2	4	9.407537688442,0.592462311558,9.407537688442,0.592462311558
0.06417085427135678	2	4	9.358291457286,0.641708542714,9.358291457286,0.641708542714
0.06909547738693467	2	4	9.309045226131,0.690954773869,9.309045226131,0.690954773869
0.07402010050251256	2	4	9.259798994975,0.740201005025,9.259798994975,0.740201005025
0.07894472361809045	2	4	9.210552763819,0.789447236181,9.210552763819,0.789447236181
0.08386934673366835	2	4	9.161306532663,0.838693467337,9.161306532663,0.838693467337
0.08879396984924623	2	4	9.112060301508,0.887939698492,9.112060301508,0.887939698492
0.09371859296482411	2	4	9.062814070352,0.937185929648,9.062814070352,0.937185929648
0.09864321608040201	2	4	9.013567839196,0.986432160804,9.013567839196,0.986432160804
0.1035678391959799	2	4	8.964321608040,1.035678391960,8.964321608040,1.035678391960
0.10849246231155779	2	4	8.915075376884,1.084924623116,8.915075376884,1.084924623116
0.11341708542713567	2	4	8.865829145729,1.134170854271,8.865829145729,1.134170854271
0.11834170854271357	2	4	8.816582914573,1.183417085427,8.816582914573,1.183417085427
0.12326633165829146	2	4	8.767336683417,1.232663316583,8.767336683417,1.232663316583
0.12819095477386935	2	4	8.718090452261,1.281909547739,8.718090452261,1.281909547739
0.13311557788944725	2	4	8.668844221106,1.331155778894,8.668844221106,1.331155778894
0.13804020100502515	2	4	8.619597989950,1.380402010050,8.619597989950,1.380402010050
0.14296482412060302	2	4	8.570351758794,1.429648241206,8.570351758794,1.429648241206
0.14788944723618092	2	4	8.521105527638,1.478894472362,8.521105527638,1.478894472362
0.1528140703517588	2	4	8.471859296482,1.528140703518,8.471859296482,1.528140703518
0.1577386934673367	2	4	8.422613065327,1.577386934673,8.422613065327,1.577386934673
0.16266331658291458	2	4	8.373366834171,1.626633165829,8.373366834171,1.626633165829
0.16758793969849248	2	4	8.324120603015,1.675879396985,8.324120603015,1.675879396985
0.17251256281407037	2	4	8.274874371859,1.725125628141,8.274874371859,1.725125628141
0.17743718592964824	2	4	8.225628140704,1.774371859296,8.225628140704,1.774371859296
0.18236180904522614	2	4	8.176381909548,1.823618090452,8.176381909548,1.823618090452
0.18728643216080404	2	4	8.127135678392,1.872864321608,8.127135678392,1.872864321608
0.19221105527638194	2	4	8.077889447236,1.922110552764,8.077889447236,1.922110552764
0.1971356783919598	2	4	8.028643216080,1.971356783920,8.028643216080,1.971356783920
0.2020603015075377	2	4	7.979396984925,2.020603015075,7.979396984925,2.020603015075
0.2069849246231156	2	4	7.930150753769,2.069849246231,7.930150753769,2.069849246231
0.21190954773869347	2	4	7.880904522613,2.119095477387,7.880904522613,2.119095477387
0.21683417085427137	2	4	7.831658291457,2.168341708543,7.831658291457,2.168341708543
0.22175879396984927	2	4	7.782412060301,2.217587939699,7.782412060301,2.217587939699
0.22668341708542716	2	4	7.733165829146,2.266834170854,7.733165829146,2.266834170854
0.23160804020100503	2	4	7.683919597990,2.316080402010,7.683919597990,2.316080402010
0.23653266331658293	2	4	7.634673366834,2.365326633166,7.634673366834,2.365326633166
0.24145728643216083	2	4	7.585427135678,2.414572864322,7.585427135678,2.414572864322
0.2463819095477387	2	4	7.536180904523,2.463819095477,7.536180904523,2.463819095477
0.2513065326633166	2	4	7.486934673367,2.513065326633,7.486934673367,2.513065326633
0.2562311557788945	2	4	7.437688442211,2.562311557789,7.437688442211,2.562311557789
0.2611557788944724	2	4	7.388442211055,2.611557788945,7.388442211055,2.611557788945
0.2660804020100503	2	4	7.339195979899,2.660804020101,7.339195979899,2.660804020101
0.2710050251256282	2	4	7.289949748744,2.710050251256,7.289949748744,2.710050251256
0.275929648241206	2	4	7.240703517588,2.759296482412,7.240703517588,2.759296482412
0.2808542713567839	2	4	7.191457286432,2.808542713568,7.191457286432,2.808542713568
0.2857788944723618	2	4	7.142211055276,2.857788944724,7.142211055276,2.857788944724
0.2907035175879397	2	4	7.092964824121,2.907035175879,7.092964824121,2.907035175879
0.2956281407035176	2	4	7.043718592965,2.956281407035,7.043718592965,2.956281407035
0.3005527638190955	2	4	6.994472361809,3.005527638191,6.994472361809,3.005527638191
0.3054773869346734	2	4	6.945226130653,3.054773869347,6.945226130653,3.054773869347
0.31040201005025125	2	4	6.895979899497,3.104020100503,6.895979899497,3.104020100503
0.31532663316582915	2	4	6.846733668342,3.153266331658,6.846733668342,3.153266331658
0.32025125628140705	2	4	6.797487437186,3.202512562814,6.797487437186,3.202512562814
0.32517587939698495	2	4	6.748241206030,3.251758793970,6.748241206030,3.251758793970
0.33010050251256284	2	4	6.698994974874,3.301005025126,6.698994974874,3.301005025126
0.33502512562814074	2	4	6.649748743719,3.350251256281,6.649748743719,3.350251256281
0.33994974874371864	2	4	6.600502512563,3.399497487437,6.600502512563,3.399497487437
0.3448743718592965	2	4	6.551256281407,3.448743718593,6.551256281407,3.448743718593
0.3497989949748744	2	4	6.502010050251,3.497989949749,6.502010050251,3.497989949749
0.3547236180904523	2	4	6.452763819095,3.547236180905,6.452763819095,3.547236180905
0.3596482412060302	2	4	6.403517587940,3.596482412060,6.403517587940,3.596482412060
0.36457286432160807	2	4	6.354271356784,3.645728643216,6.354271356784,3.645728643216
0.36949748743718597	2	4	6.305025125628,3.694974874372,6.305025125628,3.694974874372
0.37442211055276386	2	4	6.255778894472,3.744221105528,6.255778894472,3.744221105528
0.3793467336683417	2	4	6.206532663317,3.793467336683,6.206532663317,3.793467336683
0.3842713567839196	2	4	6.157286432161,3.842713567839,6.157286432161,3.842713567839
0.3891959798994975	2	4	6.108040201005,3.891959798995,6.108040201005,3.891959798995
0.3941206030150754	2	4	6.058793969849,3.941206030151,6.058793969849,3.941206030151
0.3990452261306533	2	4	6.009547738693,3.990452261307,6.009547738693,3.990452261307
0.4039698492462312	2	4	5.960301507538,4.039698492462,5.960301507538,4.039698492462
0.4088944723618091	2	4	5.911055276382,4.088944723618,5.911055276382,4.088944723618
0.41381909547738693	2	4	5.861809045226,4.138190954774,5.861809045226,4.138190954774
0.41874371859296483	2	4	5.812562814070,4.187437185930,5.812562814070,4.187437185930
0.42366834170854273	2	4	5.763316582915,4.236683417085,5.763316582915,4.236683417085
0.4285929648241206	2	4	5.714070351759,4.285929648241,5.714070351759,4.285929648241
0.4335175879396985	2	4	5.664824120603,4.335175879397,5.664824120603,4.335175879397
0.4384422110552764	2	4	5.615577889447,4.384422110553,5.615577889447,4.384422110553
0.4433668341708543	2	4	5.566331658292,4.433668341708,5.566331658292,4.433668341708
0.44829145728643216	2	4	5.517085427136,4.482914572864,5.517085427136,4.482914572864
0.45321608040201006	2	4	5.467839195980,4.532160804020,5.467839195980,4.532160804020
0.45814070351758795	2	4	5.418592964824,4.581407035176,5.418592964824,4.581407035176
0.46306532663316585	2	4	5.369346733669,4.630653266331,5.369346733669,4.630653266331
0.46798994974874375	2	4	5.320100502512,4.679899497488,5.320100502512,4.679899497488
0.47291457286432165	2	4	5.270854271357,4.729145728643,5.270854271357,4.729145728643
0.47783919597989954	2	4	5.221608040201,4.778391959799,5.221608040201,4.778391959799
0.4827638190954774	2	4	5.172361809045,4.827638190955,5.172361809045,4.827638190955
0.4876884422110553	2	4	5.123115577889,4.876884422111,5.123115577889,4.876884422111
0.4926130653266332	2	4	5.073869346734,4.926130653266,5.073869346734,4.926130653266
0.4975376884422111	2	4	5.024623115578,4.975376884422,5.024623115578,4.975376884422
0.502462311557789	1	3	5.024623115578,5.024623115578,5.024623115578,5.024623115578
0.5073869346733668	1	3	5.073869346734,5.073869346734,5.073869346734,5.073869346734
0.5123115577889448	1	3	5.123115577889,5.123115577889,5.123115577889,5.123115577889
