,ID,Name,Type
0,Bacteroides thetaiotaomicron 3731,Bacteroides thetaiotaomicron 3731,Organism
1,Escherichia coli str K 12 substr MG1655,Escherichia coli str K 12 substr MG1655,Organism
2,cys_L[e],L-cysteine,Metabolite
3,fe3[e],Fe3+,Metabolite
4,cu2[e],Cu2+,Metabolite
5,mg2[e],magnesium,Metabolite
6,co2[e],Carbon dioxide,Metabolite
7,ca2[e],calcium(2+),Metabolite
8,mn2[e],Mn2+,Metabolite
9,for[e],Formate,Metabolite
10,h2o[e],Water,Metabolite
11,pi[e],hydrogenphosphate,Metabolite
12,h2[e],Hydrogen,Metabolite
13,urea[e],Urea,Metabolite
14,glyclt[e],glycolate,Metabolite
15,cobalt2[e],Co2+,Metabolite
16,fe2[e],Fe2+,Metabolite
17,cl[e],Chloride,Metabolite
18,glc_D[e],D-glucose,Metabolite
19,so4[e],sulfate,Metabolite
20,h[e],proton,Metabolite
21,thm[e],Thiamin,Metabolite
22,ac[e],Acetate,Metabolite
23,biomass[c],Produced biomass,Metabolite
24,zn2[e],Zinc,Metabolite
25,nh4[e],Ammonium,Metabolite
26,etoh[e],Ethanol,Metabolite
27,succ[e],Succinate,Metabolite
28,k[e],potassium,Metabolite
