ID,Name,Type
Bifidobacterium longum infantis ATCC 15697,Bifidobacterium longum infantis ATCC 15697,Organism
Eubacterium hallii DSM 3353,Eubacterium hallii DSM 3353,Organism
co2[e],Carbon dioxide,Metabolite
lac_L[e],L-lactate,Metabolite
ala_L[e],L-alanine,Metabolite
h2[e],Hydrogen,Metabolite
ac[e],Acetate,Metabolite
glc_D[e],D-glucose,Metabolite
pi[e],hydrogenphosphate,Metabolite
but[e],Butyrate,Metabolite
h[e],proton,Metabolite
4abut[e],4-Aminobutanoate,Metabolite
glyglu[e],Glycyl-L-glutamate,Metabolite
hxan[e],Hypoxanthine,Metabolite
nh4[e],Ammonium,Metabolite
biomass[c],Produced biomass,Metabolite
h2o[e],Water,Metabolite
leu_L[e],L-leucine,Metabolite
lys_L[e],L-lysine,Metabolite
