First_Org_Flux,Second_Org_Max_Flux,Second_Org_Min_Flux
5.0,5.0,5.0
5.05,4.95,4.95
5.1,4.9,4.9
5.15,4.85,4.85
5.2,4.8,4.8
5.25,4.75,4.75
5.3,4.7,4.7
5.35,4.65,4.65
5.4,4.6,4.6
5.45,4.55,4.55
5.5,4.5,4.5
5.55,4.45,4.45
5.6,4.4,4.4
5.65,4.35,4.35
5.7,4.3,4.3
5.75,4.25,4.25
5.8,4.2,4.2
5.85,4.15,4.15
5.9,4.1,4.1
5.95,4.05,4.05
6.0,4.0,4.0
6.05,3.95,3.95
6.1,3.9000000000000004,3.9000000000000004
6.15,3.8499999999999996,3.8499999999999996
6.2,3.8,3.8
6.25,3.75,3.75
6.3,3.7,3.7
6.35,3.6500000000000004,3.6500000000000004
6.4,3.5999999999999996,3.5999999999999996
6.45,3.55,3.55
6.5,3.5,3.5
6.55,3.45,3.45
6.6,3.4000000000000004,3.4000000000000004
6.65,3.3499999999999996,3.3499999999999996
6.7,3.3,3.3
6.75,3.25,3.25
6.8,3.2,3.2
6.85,3.1500000000000004,3.1500000000000004
6.9,3.0999999999999996,3.0999999999999996
6.95,3.05,3.05
7.0,3.0,3.0
7.050000000000001,2.9499999999999993,2.9499999999999993
7.1,2.9000000000000004,2.9000000000000004
7.15,2.8499999999999996,2.8499999999999996
7.2,2.8,2.8
7.25,2.75,2.75
7.300000000000001,2.6999999999999993,2.6999999999999993
7.35,2.6500000000000004,2.6500000000000004
7.4,2.5999999999999996,2.5999999999999996
7.45,2.55,2.55
7.5,2.5,2.5
7.550000000000001,2.4499999999999993,2.4499999999999993
7.6,2.4000000000000004,2.4000000000000004
7.65,2.3499999999999996,2.3499999999999996
7.7,2.3,2.3
7.75,2.25,2.25
7.800000000000001,2.1999999999999993,2.1999999999999993
7.85,2.1500000000000004,2.1500000000000004
7.9,2.0999999999999996,2.0999999999999996
7.95,2.05,2.05
8.0,2.0,2.0
8.05,1.9499999999999993,1.9499999999999993
8.1,1.9000000000000004,1.9000000000000004
8.15,1.8499999999999996,1.8499999999999996
8.2,1.8000000000000007,1.8000000000000007
8.25,1.75,1.75
8.3,1.6999999999999993,1.6999999999999993
8.35,1.6500000000000004,1.6500000000000004
8.4,1.5999999999999996,1.5999999999999996
8.45,1.5500000000000007,1.5500000000000007
8.5,1.5,1.5
8.55,1.4499999999999993,1.4499999999999993
8.6,1.4000000000000004,1.4000000000000004
8.65,1.3499999999999996,1.3499999999999996
8.7,1.3000000000000007,1.3000000000000007
8.75,1.25,1.25
8.8,1.1999999999999993,1.1999999999999993
8.85,1.1500000000000004,1.1500000000000004
8.9,1.0999999999999996,1.0999999999999996
8.95,1.0500000000000007,1.0500000000000007
9.0,1.0,1.0
9.05,0.9499999999999993,0.9499999999999993
9.100000000000001,0.8999999999999986,0.8999999999999986
9.15,0.8499999999999996,0.8499999999999996
9.2,0.8000000000000007,0.8000000000000007
9.25,0.75,0.75
9.3,0.6999999999999993,0.6999999999999993
9.350000000000001,0.6499999999999986,0.6499999999999986
9.4,0.5999999999999996,0.5999999999999996
9.45,0.5500000000000007,0.5500000000000007
9.5,0.5,0.5
9.55,0.4499999999999993,0.4499999999999993
9.600000000000001,0.3999999999999986,0.3999999999999986
9.65,0.34999999999999964,0.34999999999999964
9.7,0.3000000000000007,0.3000000000000007
9.75,0.25,0.25
9.8,0.1999999999999993,0.1999999999999993
9.850000000000001,0.14999999999999858,0.14999999999999858
9.9,0.09999999999999964,0.09999999999999964
9.95,0.05000000000000071,0.05000000000000071
10.0,0.0,0.0
