,Source,Target,Type,Value
0,Clostridium difficile R20291,val_L[e],Uptake,0.0794488334779402
1,Clostridium hiranonis TO 931 DSM 13275,val_L[e],Uptake,0.061167264106079325
2,Bacteroides thetaiotaomicron 3731,val_L[e],Uptake,1.3170615257317746
3,Eggerthella lenta DSM 11767,val_L[e],Uptake,0.017018627738354844
4,Eggerthella lenta DSM 11767,fol[e],Uptake,0.00044883894720905963
5,Clostridium difficile R20291,thr_L[e],Uptake,0.7660459121545427
6,Clostridium hiranonis TO 931 DSM 13275,thr_L[e],Uptake,3.1935590969352887
7,Clostridium difficile R20291,ac[e],Secretion,7.882320321874528
8,Clostridium hiranonis TO 931 DSM 13275,ac[e],Secretion,6.383304423870074
9,Bacteroides thetaiotaomicron 3731,ac[e],Secretion,97.71065706098803
10,Bacteroides thetaiotaomicron 3731,indole[e],Secretion,4.151869266423042
11,Bacteroides thetaiotaomicron 3731,pheme[e],Uptake,0.03231487263527859
12,Eggerthella lenta DSM 11767,pheme[e],Uptake,0.00014961298240302013
13,Clostridium difficile R20291,k[e],Uptake,0.002049915192918243
14,Clostridium hiranonis TO 931 DSM 13275,k[e],Uptake,0.0011605433243683573
15,Bacteroides thetaiotaomicron 3731,k[e],Uptake,0.03231487263527859
16,Eggerthella lenta DSM 11767,k[e],Uptake,0.00014961298240302013
17,Clostridium hiranonis TO 931 DSM 13275,na1[e],Uptake,7.9719667028881025
18,Clostridium difficile R20291,orn[e],Uptake,0.002049915192918243
19,Eggerthella lenta DSM 11767,orn[e],Secretion,1.6527799072961578
20,Clostridium difficile R20291,so4[e],Uptake,0.002049915192918243
21,Clostridium hiranonis TO 931 DSM 13275,so4[e],Uptake,0.0011605433243683573
22,Bacteroides thetaiotaomicron 3731,so4[e],Uptake,0.03231487263527859
23,Eggerthella lenta DSM 11767,so4[e],Uptake,0.00014961298240302013
24,Clostridium difficile R20291,glyasn[e],Uptake,0.03829665107819729
25,Eggerthella lenta DSM 11767,glyasn[e],Uptake,0.009703463670595361
26,Clostridium hiranonis TO 931 DSM 13275,ala_L[e],Secretion,0.807604089066846
27,Eggerthella lenta DSM 11767,ala_L[e],Uptake,0.028228271128132934
28,Clostridium difficile R20291,malt[e],Uptake,0.40609254029622055
29,Clostridium difficile R20291,4hoxpacd[e],Secretion,1.2628252798103992
30,Bacteroides thetaiotaomicron 3731,h2o[e],Secretion,211.83919832586994
31,Eggerthella lenta DSM 11767,h2o[e],Uptake,2.8233182289636685
32,Clostridium difficile R20291,spmd[e],Uptake,0.002049915192918243
33,Bacteroides thetaiotaomicron 3731,spmd[e],Uptake,0.03231487263527859
34,Eggerthella lenta DSM 11767,spmd[e],Uptake,0.00014961298240302013
35,Eggerthella lenta DSM 11767,sheme[e],Uptake,0.00014961298240302013
36,Bacteroides thetaiotaomicron 3731,h2[e],Secretion,93.59050670040094
37,Eggerthella lenta DSM 11767,h2[e],Uptake,0.20047675800689965
38,Clostridium difficile R20291,pi[e],Uptake,0.34262154526077937
39,Clostridium hiranonis TO 931 DSM 13275,pi[e],Uptake,0.23202823794622646
40,Bacteroides thetaiotaomicron 3731,pi[e],Uptake,2.5188681511776165
41,Eggerthella lenta DSM 11767,pi[e],Uptake,0.05297901279106667
42,Clostridium hiranonis TO 931 DSM 13275,glc_D[e],Uptake,0.11436667471551823
