,ID,Name,Type
0,Escherichia coli str K 12 substr MG1655,Escherichia coli str K 12 substr MG1655,Organism
1,Bacteroides thetaiotaomicron 3731,Bacteroides thetaiotaomicron 3731,Organism
2,so4[e],sulfate,Metabolite
3,mn2[e],Mn2+,Metabolite
4,k[e],potassium,Metabolite
5,cl[e],Chloride,Metabolite
6,h2[e],Hydrogen,Metabolite
7,fe3[e],Fe3+,Metabolite
8,ac[e],Acetate,Metabolite
9,fe2[e],Fe2+,Metabolite
10,cobalt2[e],Co2+,Metabolite
11,zn2[e],Zinc,Metabolite
12,ca2[e],calcium(2+),Metabolite
13,for[e],Formate,Metabolite
14,etoh[e],Ethanol,Metabolite
15,thm[e],Thiamin,Metabolite
16,pi[e],hydrogenphosphate,Metabolite
17,cys_L[e],L-cysteine,Metabolite
18,co2[e],Carbon dioxide,Metabolite
19,urea[e],Urea,Metabolite
20,biomass[c],Produced biomass,Metabolite
21,glc_D[e],D-glucose,Metabolite
22,cu2[e],Cu2+,Metabolite
23,h[e],proton,Metabolite
24,h2o[e],Water,Metabolite
25,nh4[e],Ammonium,Metabolite
26,mg2[e],magnesium,Metabolite
