model,source_node_id,target_node_id,compartment
BI,12PPDt__Org1,12ppd_S[c]__Org1,BI
BI,12ppd_S[e]__Org1,12PPDt__Org1,BI
BI,23dhmp[c]__Org1,23DHMPO__Org1,BI
BI,23DHMPO__Org1,3h3mop[c]__Org1,BI
BI,23DHMPO__Org1,h[c]__Org1,BI
BI,nadp[c]__Org1,23DHMPO__Org1,BI
BI,23DHMPO__Org1,nadph[c]__Org1,BI
BI,23cump[c]__Org1,23PDE2__Org1,BI
BI,23PDE2__Org1,3ump[c]__Org1,BI
BI,h2o[c]__Org1,23PDE2__Org1,BI
BI,23PDE2__Org1,h[c]__Org1,BI
BI,23ccmp[c]__Org1,23PDE4__Org1,BI
BI,23PDE4__Org1,3cmp[c]__Org1,BI
BI,h2o[c]__Org1,23PDE4__Org1,BI
BI,23PDE4__Org1,h[c]__Org1,BI
BI,23camp[c]__Org1,23PDE7__Org1,BI
BI,23PDE7__Org1,3amp[c]__Org1,BI
BI,h2o[c]__Org1,23PDE7__Org1,BI
BI,23PDE7__Org1,h[c]__Org1,BI
BI,23cgmp[c]__Org1,23PDE9__Org1,BI
BI,23PDE9__Org1,3gmp[c]__Org1,BI
BI,h2o[c]__Org1,23PDE9__Org1,BI
BI,23PDE9__Org1,h[c]__Org1,BI
BI,2ahbut[c]__Org1,2AHBUTI__Org1,BI
BI,2AHBUTI__Org1,3h3mop[c]__Org1,BI
BI,3CARLPDH__Org1,HC00695[c]__Org1,BI
BI,HC01435[c]__Org1,3CARLPDH__Org1,BI
BI,lpam[c]__Org1,3CARLPDH__Org1,BI
BI,3CARLPDH__Org1,thmpp[c]__Org1,BI
BI,3c3hmp[c]__Org1,3MOBS__Org1,BI
BI,3MOBS__Org1,3mob[c]__Org1,BI
BI,3MOBS__Org1,accoa[c]__Org1,BI
BI,coa[c]__Org1,3MOBS__Org1,BI
BI,3MOBS__Org1,h2o[c]__Org1,BI
BI,h[c]__Org1,3MOBS__Org1,BI
BI,3OAR100__Org1,3hdecACP[c]__Org1,BI
BI,3odecACP[c]__Org1,3OAR100__Org1,BI
BI,h[c]__Org1,3OAR100__Org1,BI
BI,3OAR100__Org1,nadp[c]__Org1,BI
BI,nadph[c]__Org1,3OAR100__Org1,BI
BI,3OAR10M11__Org1,10m3hundecACP[c]__Org1,BI
BI,10m3oundecACP[c]__Org1,3OAR10M11__Org1,BI
BI,h[c]__Org1,3OAR10M11__Org1,BI
BI,3OAR10M11__Org1,nadp[c]__Org1,BI
BI,nadph[c]__Org1,3OAR10M11__Org1,BI
BI,3OAR10M12__Org1,10m3hddcaACP[c]__Org1,BI
BI,10m3oddcaACP[c]__Org1,3OAR10M12__Org1,BI
BI,h[c]__Org1,3OAR10M12__Org1,BI
BI,3OAR10M12__Org1,nadp[c]__Org1,BI
BI,nadph[c]__Org1,3OAR10M12__Org1,BI
BI,3OAR11M12__Org1,11m3hddcaACP[c]__Org1,BI
BI,11m3oddcaACP[c]__Org1,3OAR11M12__Org1,BI
BI,h[c]__Org1,3OAR11M12__Org1,BI
BI,3OAR11M12__Org1,nadp[c]__Org1,BI
BI,nadph[c]__Org1,3OAR11M12__Org1,BI
BI,3OAR120__Org1,3hddecACP[c]__Org1,BI
BI,3oddecACP[c]__Org1,3OAR120__Org1,BI
BI,h[c]__Org1,3OAR120__Org1,BI
BI,3OAR120__Org1,nadp[c]__Org1,BI
BI,nadph[c]__Org1,3OAR120__Org1,BI
BI,3OAR12M13__Org1,12m3htridecACP[c]__Org1,BI
BI,12m3otridecACP[c]__Org1,3OAR12M13__Org1,BI
BI,h[c]__Org1,3OAR12M13__Org1,BI
BI,3OAR12M13__Org1,nadp[c]__Org1,BI
BI,nadph[c]__Org1,3OAR12M13__Org1,BI
BI,3OAR12M14__Org1,12m3hmyrsACP[c]__Org1,BI
BI,12m3omyrsACP[c]__Org1,3OAR12M14__Org1,BI
BI,h[c]__Org1,3OAR12M14__Org1,BI
BI,3OAR12M14__Org1,nadp[c]__Org1,BI
BI,nadph[c]__Org1,3OAR12M14__Org1,BI
BI,3OAR13M14__Org1,13m3hmyrsACP[c]__Org1,BI
BI,13m3omyrsACP[c]__Org1,3OAR13M14__Org1,BI
BI,h[c]__Org1,3OAR13M14__Org1,BI
BI,3OAR13M14__Org1,nadp[c]__Org1,BI
BI,nadph[c]__Org1,3OAR13M14__Org1,BI
BI,3OAR140__Org1,3hmrsACP[c]__Org1,BI
BI,3omrsACP[c]__Org1,3OAR140__Org1,BI
BI,h[c]__Org1,3OAR140__Org1,BI
BI,3OAR140__Org1,nadp[c]__Org1,BI
BI,nadph[c]__Org1,3OAR140__Org1,BI
BI,3OAR14M15__Org1,14m3hpentdecACP[c]__Org1,BI
BI,14m3opentdecACP[c]__Org1,3OAR14M15__Org1,BI
BI,h[c]__Org1,3OAR14M15__Org1,BI
BI,3OAR14M15__Org1,nadp[c]__Org1,BI
