model,node_id,node_type,organism
BI,12PPDt__Org1,rxn,Org1
BI,12ppd_S[c]__Org1,met,Org1
BI,12ppd_S[e]__Org1,met,Org1
BI,23DHMPO__Org1,rxn,Org1
BI,23dhmp[c]__Org1,met,Org1
BI,3h3mop[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,nadp[c]__Org1,met,Org1
BI,nadph[c]__Org1,met,Org1
BI,23PDE2__Org1,rxn,Org1
BI,23cump[c]__Org1,met,Org1
BI,3ump[c]__Org1,met,Org1
BI,h2o[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,23PDE4__Org1,rxn,Org1
BI,23ccmp[c]__Org1,met,Org1
BI,3cmp[c]__Org1,met,Org1
BI,h2o[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,23PDE7__Org1,rxn,Org1
BI,23camp[c]__Org1,met,Org1
BI,3amp[c]__Org1,met,Org1
BI,h2o[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,23PDE9__Org1,rxn,Org1
BI,23cgmp[c]__Org1,met,Org1
BI,3gmp[c]__Org1,met,Org1
BI,h2o[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,2AHBUTI__Org1,rxn,Org1
BI,2ahbut[c]__Org1,met,Org1
BI,3h3mop[c]__Org1,met,Org1
BI,3CARLPDH__Org1,rxn,Org1
BI,HC00695[c]__Org1,met,Org1
BI,HC01435[c]__Org1,met,Org1
BI,lpam[c]__Org1,met,Org1
BI,thmpp[c]__Org1,met,Org1
BI,3MOBS__Org1,rxn,Org1
BI,3c3hmp[c]__Org1,met,Org1
BI,3mob[c]__Org1,met,Org1
BI,accoa[c]__Org1,met,Org1
BI,coa[c]__Org1,met,Org1
BI,h2o[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,3OAR100__Org1,rxn,Org1
BI,3hdecACP[c]__Org1,met,Org1
BI,3odecACP[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,nadp[c]__Org1,met,Org1
BI,nadph[c]__Org1,met,Org1
BI,3OAR10M11__Org1,rxn,Org1
BI,10m3hundecACP[c]__Org1,met,Org1
BI,10m3oundecACP[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,nadp[c]__Org1,met,Org1
BI,nadph[c]__Org1,met,Org1
BI,3OAR10M12__Org1,rxn,Org1
BI,10m3hddcaACP[c]__Org1,met,Org1
BI,10m3oddcaACP[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,nadp[c]__Org1,met,Org1
BI,nadph[c]__Org1,met,Org1
BI,3OAR11M12__Org1,rxn,Org1
BI,11m3hddcaACP[c]__Org1,met,Org1
BI,11m3oddcaACP[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,nadp[c]__Org1,met,Org1
BI,nadph[c]__Org1,met,Org1
BI,3OAR120__Org1,rxn,Org1
BI,3hddecACP[c]__Org1,met,Org1
BI,3oddecACP[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,nadp[c]__Org1,met,Org1
BI,nadph[c]__Org1,met,Org1
BI,3OAR12M13__Org1,rxn,Org1
BI,12m3htridecACP[c]__Org1,met,Org1
BI,12m3otridecACP[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,nadp[c]__Org1,met,Org1
BI,nadph[c]__Org1,met,Org1
BI,3OAR12M14__Org1,rxn,Org1
BI,12m3hmyrsACP[c]__Org1,met,Org1
BI,12m3omyrsACP[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,nadp[c]__Org1,met,Org1
BI,nadph[c]__Org1,met,Org1
BI,3OAR13M14__Org1,rxn,Org1
BI,13m3hmyrsACP[c]__Org1,met,Org1
BI,13m3omyrsACP[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,nadp[c]__Org1,met,Org1
BI,nadph[c]__Org1,met,Org1
BI,3OAR140__Org1,rxn,Org1
BI,3hmrsACP[c]__Org1,met,Org1
BI,3omrsACP[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,nadp[c]__Org1,met,Org1
BI,nadph[c]__Org1,met,Org1
BI,3OAR14M15__Org1,rxn,Org1
BI,14m3hpentdecACP[c]__Org1,met,Org1
BI,14m3opentdecACP[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,nadp[c]__Org1,met,Org1
BI,nadph[c]__Org1,met,Org1
BI,3OAR14M16__Org1,rxn,Org1
BI,14m3hpalmACP[c]__Org1,met,Org1
BI,14m3opalmACP[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,nadp[c]__Org1,met,Org1
BI,nadph[c]__Org1,met,Org1
BI,3OAR15M16__Org1,rxn,Org1
BI,15m3hpalmACP[c]__Org1,met,Org1
BI,15m3opalmACP[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,nadp[c]__Org1,met,Org1
BI,nadph[c]__Org1,met,Org1
BI,3OAR160__Org1,rxn,Org1
BI,3hpalmACP[c]__Org1,met,Org1
BI,3opalmACP[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,nadp[c]__Org1,met,Org1
BI,nadph[c]__Org1,met,Org1
BI,3OAR180__Org1,rxn,Org1
BI,3hoctaACP[c]__Org1,met,Org1
BI,3ooctdACP[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,nadp[c]__Org1,met,Org1
BI,nadph[c]__Org1,met,Org1
BI,3OAR40__Org1,rxn,Org1
BI,3haACP[c]__Org1,met,Org1
BI,actACP[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,nadp[c]__Org1,met,Org1
BI,nadph[c]__Org1,met,Org1
BI,3OAR4M5__Org1,rxn,Org1
BI,4m3hpentACP[c]__Org1,met,Org1
BI,4m3opentACP[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,nadp[c]__Org1,met,Org1
BI,nadph[c]__Org1,met,Org1
BI,3OAR4M6__Org1,rxn,Org1
BI,4m3hhexACP[c]__Org1,met,Org1
BI,4m3ohexACP[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,nadp[c]__Org1,met,Org1
BI,nadph[c]__Org1,met,Org1
